epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,44457.3,1.42903,1.00289,1.3514,0.70725,0.70577,0.73249,0.3862,1.58107,1.05212,1.49732,0.005842,0.005842,0.005842
44,45564.3,1.42021,0.98974,1.34693,0.71168,0.6995,0.73282,0.38892,1.58199,1.04828,1.50707,0.005743,0.005743,0.005743
45,46551.3,1.41504,0.9895,1.34313,0.7013,0.70726,0.7335,0.38966,1.57997,1.05031,1.51046,0.005644,0.005644,0.005644
46,47523.7,1.40827,0.97968,1.34146,0.70062,0.70404,0.73383,0.38969,1.58769,1.04209,1.50428,0.005545,0.005545,0.005545
47,48392.1,1.39946,0.96691,1.32989,0.71315,0.70958,0.73781,0.39159,1.58628,1.02879,1.50116,0.005446,0.005446,0.005446
48,49389.9,1.40184,0.95795,1.33104,0.7089,0.70771,0.73572,0.3916,1.58476,1.03445,1.49938,0.005347,0.005347,0.005347
49,50516.9,1.39495,0.95445,1.33318,0.71449,0.7058,0.73608,0.3918,1.5827,1.02719,1.49734,0.005248,0.005248,0.005248
50,51596.2,1.3918,0.95449,1.32714,0.72274,0.70415,0.73858,0.3937,1.58686,1.02563,1.51375,0.005149,0.005149,0.005149
51,52633.2,1.38935,0.94355,1.31891,0.70729,0.70928,0.73993,0.39535,1.58651,1.02115,1.5039,0.00505,0.00505,0.00505
52,53915.5,1.38011,0.93572,1.31599,0.71881,0.70743,0.74277,0.39658,1.59472,1.02035,1.51314,0.004951,0.004951,0.004951
53,55302.6,1.38208,0.9297,1.32008,0.71094,0.71293,0.74058,0.39612,1.58775,1.02242,1.50595,0.004852,0.004852,0.004852
54,56372.7,1.36874,0.91757,1.30842,0.71044,0.71336,0.7398,0.39653,1.58691,1.0168,1.49998,0.004753,0.004753,0.004753
55,57495.4,1.36634,0.92394,1.31301,0.71374,0.70674,0.74213,0.39618,1.58887,1.02337,1.50168,0.004654,0.004654,0.004654
56,58276.9,1.3614,0.90907,1.30906,0.71442,0.70721,0.73952,0.39777,1.5876,1.02911,1.51063,0.004555,0.004555,0.004555
